"OL_depth$SITE","OL_depth$TREATMENT","OL_depth$SITE.CODE","AV"
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"31_0",18.6
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"6_0",19.8
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",0,"9_0",21.9
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"18_1",7.75
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"20_1",13
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"28_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"29_1",11
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"33_1",8.5
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"36_1",12.6
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",1,"5_1",11.4
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"19_2",9.6
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"26_2",13
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"27_2",9.6
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"3_2",11
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"34_2",2.6
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",2,"4_2",13
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"17_3",3.4
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"2_3",1.6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"22_3",6
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"23_3",4
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"24_3",1.2
"STEESE",3,"25_3",2.6
